Time,Vph(A),Vph(B),Vph(C),Vab,Vbc,Vca,Iph(A),Iph(B),Iph(C),Ptotal,Qtotal,P.F.total,Pph(A),Pph(B),Pph(C),Qph(A),Qph(B),Qph(C),P.F(A),P.F(B),P.F(C),Frequency,Sph(A),Sph(B),Sph(C),Stotal
2:26:34,15.83,200.30,255.80,180.60,33.30,37.70,22.00,95.40,173.60,7168.270,1721.900,141.60,255.00,183.00,65.20,114.80,129.90,279.20,50.80,186.40,284.10,262.90,147.00,142.50,16.10,6297.19
2:26:39,7.12,69.90,128.80,97.40,125.20,55.10,79.20,211.80,25.60,1930.510,1721.900,141.60,255.00,183.00,65.20,114.80,129.90,279.20,50.80,186.40,284.10,262.90,147.00,142.50,16.10,6297.19
2:26:44,7.12,69.90,128.80,97.40,125.20,55.10,79.20,211.80,25.60,1941.180,2354.720,293.50,281.40,141.30,75.50,296.10,145.20,75.50,251.60,5.30,57.00,273.80,82.10,298.40,209.90,4910.80
2:26:49,28.61,138.20,220.20,1.10,260.70,119.20,129.80,175.90,25.60,1941.180,2354.720,293.50,281.40,141.30,75.50,296.10,145.20,75.50,251.60,5.30,57.00,273.80,82.10,298.40,209.90,4910.80
2:26:54,28.61,138.20,220.20,1.10,260.70,119.20,129.80,175.90,198.70,2751.700,6648.190,107.90,44.10,206.40,294.90,160.00,296.40,260.20,48.90,87.60,66.00,136.70,245.30,159.50,75.50,3423.40
2:26:59,18.69,292.50,79.60,153.60,204.20,195.60,129.80,175.90,198.70,2751.700,6648.190,107.90,44.10,206.40,294.90,160.00,296.40,260.20,48.90,87.60,66.00,136.70,245.30,159.50,75.50,3423.40
2:27:4,18.69,292.50,79.60,153.60,204.20,195.60,23.30,144.80,105.30,5399.220,6126.400,19.50,275.60,88.70,299.30,297.30,209.70,157.40,271.40,28.00,295.40,18.10,13.80,34.70,167.50,4776.06
2:27:9,12.40,60.60,109.10,153.60,204.20,195.60,23.30,144.80,105.30,5399.220,6126.400,19.50,275.60,88.70,299.30,297.30,209.70,157.40,271.40,28.00,295.40,18.10,13.80,34.70,167.50,4776.06
2:27:14,12.40,60.60,109.10,99.50,195.00,77.70,183.00,58.90,114.00,2370.330,2696.010,12.30,70.80,51.90,67.70,281.20,148.20,3.70,299.50,280.40,71.10,14.40,167.40,63.20,230.70,1758.03
2:27:19,26.25,60.60,109.10,99.50,195.00,77.70,183.00,58.90,114.00,2370.330,2696.010,12.30,70.80,51.90,67.70,281.20,148.20,3.70,299.50,280.40,71.10,14.40,167.40,63.20,230.70,1758.03
2:27:24,26.25,264.30,128.20,254.30,197.90,39.50,296.50,255.40,269.10,3017.790,6351.550,59.30,2.90,147.40,45.10,220.20,173.40,228.40,48.10,206.70,44.40,269.80,64.10,244.70,172.90,4172.11
2:27:29,26.25,264.30,128.20,254.30,197.90,39.50,296.50,255.40,269.10,3017.790,6351.550,59.30,2.90,147.40,45.10,220.20,173.40,228.40,48.10,206.70,44.40,269.80,64.10,244.70,172.90,4191.09
2:27:34,22.36,143.00,138.80,224.20,60.60,196.30,242.80,237.90,125.30,2071.940,6382.440,94.90,128.20,118.30,14.40,108.20,218.90,263.30,284.20,119.30,77.60,261.90,21.90,296.00,172.90,4191.09
2:27:39,22.36,143.00,138.80,224.20,60.60,196.30,242.80,237.90,125.30,2071.940,6382.440,94.90,128.20,118.30,14.40,108.20,218.90,263.30,284.20,119.30,77.60,261.90,21.90,296.00,163.60,2280.45
2:27:44,10.79,134.00,54.30,193.90,13.70,276.60,175.80,85.00,204.40,6158.710,4886.430,132.80,246.70,109.00,213.10,59.40,131.50,101.40,281.60,2.30,123.20,90.40,21.90,296.00,163.60,2280.45
2:27:49,10.79,134.00,54.30,193.90,13.70,276.60,175.80,85.00,204.40,6158.710,4886.430,132.80,246.70,109.00,213.10,59.40,131.50,101.40,281.60,2.30,123.20,90.40,62.10,259.60,3.50,241.35
2:27:54,22.89,220.10,199.30,244.60,231.80,25.60,154.20,109.00,31.70,1437.980,311.330,62.60,69.50,202.90,68.20,35.00,247.70,226.40,130.10,57.30,101.50,184.30,62.10,259.60,3.50,241.35
2:27:59,22.89,220.10,199.30,244.60,231.80,25.60,154.20,109.00,31.70,1437.980,311.330,62.60,69.50,202.90,68.20,35.00,247.70,226.40,130.10,57.30,101.50,184.30,208.80,126.40,262.30,691.96
2:28:4,16.47,258.10,283.60,104.60,175.80,109.30,26.40,176.00,272.80,627.690,3709.460,81.90,136.30,259.80,180.00,116.10,256.30,58.00,12.20,154.30,115.20,7.80,208.80,126.40,262.30,691.96
2:28:9,16.47,258.10,283.60,104.60,175.80,109.30,26.40,176.00,272.80,627.690,3709.460,81.90,136.30,259.80,180.00,116.10,256.30,58.00,12.20,154.30,115.20,7.80,132.00,156.80,177.00,1885.75
2:28:14,21.16,126.10,83.40,154.60,64.60,106.90,193.00,207.60,85.50,7380.630,3267.690,263.90,137.60,46.10,259.20,161.80,142.60,119.20,295.30,273.80,231.80,106.90,132.00,156.80,177.00,1885.75
2:28:19,21.16,126.10,83.40,154.60,64.60,106.90,193.00,207.60,85.50,7380.630,3267.690,263.90,137.60,46.10,259.20,161.80,142.60,119.20,295.30,273.80,231.80,106.90,209.50,266.30,99.30,1892.62
2:28:24,0.42,113.40,21.90,294.70,284.10,255.60,260.90,61.00,109.50,653.320,4881.600,291.10,194.00,22.80,48.30,226.30,33.40,46.80,296.00,6.40,34.60,297.60,209.50,266.30,99.30,1892.62
2:28:29,0.42,113.40,21.90,294.70,284.10,255.60,260.90,61.00,109.50,653.320,4881.600,291.10,194.00,22.80,48.30,226.30,33.40,46.80,296.00,6.40,34.60,297.60,10.70,152.00,256.20,2898.43
2:28:34,5.73,26.30,65.30,133.80,146.40,210.30,233.00,162.30,280.60,3324.020,5389.090,60.00,124.50,36.80,207.40,90.30,133.00,295.20,182.40,6.50,123.20,167.20,10.70,152.00,256.20,2898.43
2:28:39,5.73,26.30,65.30,133.80,146.40,210.30,233.00,162.30,280.60,3324.020,5389.090,60.00,124.50,36.80,207.40,90.30,133.00,295.20,182.40,6.50,123.20,167.20,171.80,163.40,67.80,3849.83
2:28:44,27.54,285.90,94.50,291.40,97.90,68.70,239.30,127.20,217.80,2136.740,4797.130,208.80,207.90,190.90,73.60,265.70,5.90,193.90,289.40,81.30,120.60,167.90,171.80,163.40,67.80,3849.83
2:28:49,27.54,285.90,94.50,291.40,97.90,68.70,239.30,127.20,217.80,2136.740,4797.130,208.80,207.90,190.90,73.60,265.70,5.90,193.90,289.40,81.30,120.60,167.90,36.70,299.30,147.10,2734.48
2:28:54,15.35,291.80,294.80,35.50,221.90,147.90,2.00,194.70,196.60,937.090,5601.250,269.90,235.50,54.50,92.80,38.50,100.00,149.50,269.60,158.80,272.20,283.60,36.70,299.30,147.10,2734.48
2:28:59,15.35,291.80,294.80,35.50,221.90,147.90,2.00,194.70,196.60,937.090,5601.250,269.90,235.50,54.50,92.80,38.50,100.00,149.50,269.60,158.80,272.20,283.60,95.80,169.40,65.00,5959.28
2:29:4,17.22,43.10,239.30,132.20,279.40,176.70,79.30,260.20,135.10,6549.370,7571.210,111.40,257.30,297.90,260.10,75.00,126.60,233.30,26.10,208.40,132.10,268.20,95.80,169.40,65.00,5959.28
2:29:9,17.22,43.10,239.30,132.20,279.40,176.70,79.30,260.20,135.10,6549.370,7571.210,111.40,257.30,297.90,260.10,75.00,126.60,233.30,26.10,208.40,132.10,268.20,296.40,119.50,262.30,1405.60
2:29:14,28.88,122.90,210.10,222.70,3.30,1.50,220.40,54.50,37.40,1127.460,2623.810,11.40,234.00,141.00,29.60,297.80,204.90,106.80,232.10,218.90,132.10,268.20,296.40,119.50,262.30,1405.60
2:29:19,28.88,122.90,210.10,222.70,3.30,1.50,220.40,54.50,37.40,1127.460,2623.810,11.40,234.00,141.00,29.60,297.80,204.90,106.80,232.10,218.90,20.70,157.00,163.90,62.10,256.90,6948.54
2:29:24,2.54,20.30,23.60,199.10,226.80,77.40,185.30,160.20,57.80,44.760,3377.790,233.70,27.70,36.30,77.20,38.00,125.80,106.80,232.10,218.90,20.70,157.00,163.90,62.10,256.90,6948.54
2:29:29,2.54,20.30,23.60,199.10,226.80,77.40,185.30,160.20,57.80,44.760,3377.790,233.70,27.70,36.30,77.20,38.00,125.80,30.30,238.20,84.90,226.90,262.90,189.10,20.00,67.80,5904.44
2:29:34,18.65,88.20,65.90,64.00,229.10,90.90,216.50,30.90,0.40,3314.880,2160.470,74.10,220.30,73.30,85.50,38.00,125.80,30.30,238.20,84.90,226.90,262.90,189.10,20.00,67.80,5904.44
2:29:39,18.65,88.20,65.90,64.00,229.10,90.90,216.50,30.90,0.40,3314.880,2160.470,74.10,220.30,73.30,85.50,255.60,156.80,190.80,177.10,213.20,130.60,110.70,229.70,19.10,61.60,6143.56
2:29:44,21.48,259.40,163.50,38.30,29.50,149.80,233.80,280.20,32.40,3494.700,1015.530,15.50,220.30,73.30,85.50,255.60,156.80,190.80,177.10,213.20,130.60,110.70,229.70,19.10,61.60,6143.56
2:29:49,21.48,259.40,163.50,38.30,29.50,149.80,233.80,280.20,32.40,3494.700,1015.530,15.50,162.50,29.30,141.40,104.30,34.20,71.70,42.40,127.90,262.70,92.90,179.90,211.20,224.40,6533.19
2:29:54,25.44,202.80,36.70,159.60,183.60,166.60,36.80,64.30,154.70,2362.710,2774.250,15.50,162.50,29.30,141.40,104.30,34.20,71.70,42.40,127.90,262.70,92.90,179.90,211.20,224.40,6533.19
2:29:59,25.44,202.80,36.70,159.60,183.60,166.60,36.80,64.30,154.70,2362.710,2769.960,25.00,253.30,58.10,10.30,43.90,96.50,167.40,112.10,19.90,161.80,248.60,219.70,187.70,30.80,1345.11
2:30:4,13.00,34.00,96.80,156.30,264.60,245.50,237.10,67.60,143.60,2362.710,2769.960,25.00,253.30,58.10,10.30,43.90,96.50,167.40,112.10,19.90,161.80,248.60,219.70,187.70,30.80,1345.11
2:30:9,13.00,34.00,96.80,156.30,264.60,245.50,237.10,67.60,143.60,2991.530,2335.360,106.30,23.70,223.80,286.10,131.20,139.10,114.70,69.00,98.00,22.50,216.00,292.60,94.50,202.30,765.02
2:30:14,2.16,35.20,127.20,16.50,56.20,109.80,122.30,93.40,143.60,2991.530,2335.360,106.30,23.70,223.80,286.10,131.20,139.10,114.70,69.00,98.00,22.50,216.00,292.60,94.50,202.30,765.02
2:30:19,2.16,35.20,127.20,16.50,56.20,109.80,122.30,93.40,103.30,1099.280,2940.660,21.90,260.60,270.80,291.00,72.40,294.50,219.10,153.40,290.60,224.50,184.10,241.90,248.50,192.80,3862.19
2:30:24,20.94,101.00,299.50,204.10,54.60,109.80,122.30,93.40,103.30,1099.280,2940.660,21.90,260.60,270.80,291.00,72.40,294.50,219.10,153.40,290.60,224.50,184.10,241.90,248.50,192.80,3862.19
2:30:29,20.94,101.00,299.50,204.10,54.60,93.70,88.80,77.40,282.90,3651.080,2615.340,79.30,269.90,159.50,266.10,14.50,14.80,259.20,256.80,174.40,4.10,173.10,172.00,93.90,263.50,6684.93
2:30:34,6.36,167.00,6.00,204.10,54.60,93.70,88.80,77.40,282.90,3651.080,2615.340,79.30,269.90,159.50,266.10,14.50,14.80,259.20,256.80,174.40,4.10,173.10,172.00,93.90,263.50,6684.93
2:30:39,6.36,167.00,6.00,67.70,129.90,138.80,105.70,219.70,272.80,1909.700,3107.000,130.30,97.30,142.20,213.50,136.90,172.70,276.30,73.70,73.20,49.40,192.10,189.90,87.60,70.50,3177.10
2:30:44,6.36,167.00,6.00,67.70,129.90,138.80,105.70,219.70,272.80,1909.700,3107.000,130.30,97.30,142.20,213.50,136.90,172.70,276.30,73.70,73.20,49.40,192.10,189.90,87.60,70.50,3177.10
2:30:49,23.10,178.50,181.30,234.40,233.40,113.00,1.90,135.30,263.70,4294.030,189.070,16.10,109.90,178.20,165.80,53.90,143.20,84.50,154.00,289.50,190.40,41.50,47.70,129.70,73.90,1827.98
2:30:54,23.10,178.50,181.30,234.40,233.40,113.00,1.90,135.30,263.70,4294.030,189.070,16.10,109.90,178.20,165.80,53.90,143.20,84.50,154.00,289.50,190.40,41.50,47.70,129.70,73.90,1827.17
2:30:59,11.58,167.10,150.20,167.50,66.90,189.30,120.70,109.90,293.60,1077.140,6548.570,223.70,184.20,102.00,71.90,108.40,172.50,40.30,242.00,98.90,126.70,236.40,273.10,129.70,73.90,1827.17
2:31:4,11.58,167.10,150.20,167.50,66.90,189.30,120.70,109.90,293.60,1077.140,6548.570,223.70,184.20,102.00,71.90,108.40,172.50,40.30,242.00,98.90,126.70,236.40,273.10,180.10,44.30,496.84
2:31:9,14.13,127.60,112.70,20.40,44.50,202.90,89.80,125.10,277.10,1960.930,2644.800,260.40,241.10,280.90,90.40,186.80,274.10,55.00,102.90,25.40,144.80,135.00,273.10,180.10,44.30,496.84
2:31:14,14.13,127.60,112.70,20.40,44.50,202.90,89.80,125.10,277.10,1960.930,2644.800,260.40,241.10,280.90,90.40,186.80,274.10,55.00,102.90,25.40,144.80,135.00,209.10,49.20,172.80,1842.08
2:31:19,5.81,264.50,70.10,131.20,126.40,182.00,29.50,137.30,150.10,2325.160,2277.620,132.40,58.90,225.60,57.10,211.10,136.50,35.10,65.80,48.10,35.50,17.90,209.10,49.20,172.80,1842.08
2:31:24,5.81,264.50,70.10,131.20,126.40,182.00,29.50,137.30,150.10,2325.160,2277.620,132.40,58.90,225.60,57.10,211.10,136.50,35.10,65.80,48.10,35.50,17.90,245.00,11.20,192.20,96.08
2:31:29,26.41,100.60,222.20,58.70,89.50,0.50,4.90,257.30,148.90,4111.980,1086.190,124.70,112.50,159.00,257.00,21.10,210.80,73.30,126.20,176.70,164.60,97.20,245.00,11.20,192.20,96.08
2:31:34,26.41,100.60,222.20,58.70,89.50,0.50,4.90,257.30,148.90,4111.980,1086.190,124.70,112.50,159.00,257.00,21.10,210.80,73.30,126.20,176.70,164.60,97.20,258.90,253.90,109.20,7281.13
2:31:39,21.44,14.70,178.60,100.10,189.70,259.70,175.80,71.50,218.20,1617.220,477.520,236.90,282.50,254.00,60.70,40.40,34.90,57.50,34.70,116.50,235.90,294.00,258.90,253.90,109.20,7281.13
2:31:44,21.44,14.70,178.60,100.10,189.70,259.70,175.80,71.50,218.20,1617.220,477.520,236.90,282.50,254.00,60.70,40.40,34.90,57.50,34.70,116.50,235.90,294.00,229.90,24.10,296.40,1553.73
2:31:49,12.85,145.70,209.70,210.00,63.70,88.70,74.60,62.70,117.30,1840.100,3691.190,53.40,165.00,121.50,180.90,83.70,73.60,54.40,78.00,31.50,296.60,258.60,229.90,24.10,296.40,1553.73
2:31:54,12.85,145.70,209.70,210.00,63.70,88.70,74.60,62.70,117.30,1840.100,3691.190,53.40,165.00,121.50,180.90,83.70,73.60,54.40,78.00,31.50,296.60,258.60,49.20,37.30,36.20,412.61
2:31:59,13.05,127.50,217.60,90.60,82.90,166.60,3.40,218.70,37.60,3514.130,6318.640,45.60,234.80,0.30,6.30,127.60,10.60,102.70,286.70,80.00,180.20,216.50,49.20,37.30,36.20,412.61
2:32:4,13.05,127.50,217.60,90.60,82.90,166.60,3.40,218.70,37.60,3514.130,6318.640,45.60,234.80,0.30,6.30,127.60,10.60,102.70,286.70,80.00,180.20,216.50,226.80,58.90,209.20,2392.52
2:32:9,6.69,246.30,108.70,274.40,36.10,7.40,68.40,173.00,265.90,6673.670,2224.280,259.30,42.30,47.40,54.30,241.30,257.80,251.70,250.80,255.60,54.90,242.30,226.80,58.90,209.20,2392.52
2:32:14,6.69,246.30,108.70,274.40,36.10,7.40,68.40,173.00,265.90,6673.670,2224.280,259.30,42.30,47.40,54.30,241.30,257.80,251.70,250.80,255.60,54.90,242.30,137.20,188.90,122.90,6452.19
2:32:19,21.74,143.80,189.10,132.90,247.10,60.20,51.50,221.00,114.60,4096.790,358.640,233.60,267.60,186.50,1.60,24.80,56.30,155.00,150.40,108.20,153.60,283.20,137.20,188.90,122.90,6452.19
2:32:24,21.74,143.80,189.10,132.90,247.10,60.20,51.50,221.00,114.60,4096.790,358.640,233.60,267.60,186.50,1.60,24.80,56.30,155.00,150.40,108.20,153.60,283.20,243.00,188.80,245.40,6792.31
2:32:29,0.20,12.70,56.30,186.10,293.10,110.80,289.20,134.50,174.20,6790.660,5729.380,31.30,212.30,167.30,5.90,66.60,86.30,274.90,40.50,217.50,222.30,107.20,243.00,188.80,245.40,6792.31
2:32:34,0.20,12.70,56.30,186.10,293.10,110.80,289.20,134.50,174.20,6790.660,5729.380,31.30,212.30,167.30,5.90,66.60,86.30,274.90,40.50,217.50,222.30,107.20,74.50,167.50,251.40,7278.24
2:32:39,0.97,14.00,229.00,111.70,207.20,224.40,7.20,52.30,174.30,6354.070,961.250,87.60,99.40,7.40,169.10,13.90,121.50,277.20,293.70,75.30,222.30,107.20,74.50,167.50,251.40,7278.24
2:32:44,0.97,14.00,229.00,111.70,207.20,224.40,7.20,52.30,174.30,6354.070,961.250,87.60,99.40,7.40,169.10,13.90,121.50,277.20,293.70,75.30,177.50,284.50,265.50,228.90,154.20,4972.75
2:32:49,0.96,134.90,296.50,253.40,255.50,89.50,226.40,51.50,167.20,2631.000,1064.980,182.90,201.00,176.00,78.60,157.60,283.80,277.20,293.70,75.30,177.50,284.50,265.50,228.90,154.20,4972.75
2:32:54,0.96,134.90,296.50,253.40,255.50,89.50,226.40,51.50,167.20,2631.000,1064.980,182.90,201.00,176.00,78.60,157.60,283.80,116.60,287.00,277.30,104.20,282.10,270.20,73.60,21.10,3134.89
2:32:59,11.45,271.70,47.10,98.60,278.20,222.60,115.40,220.40,181.60,4090.580,6752.560,63.80,200.70,253.80,208.80,157.60,283.80,116.60,287.00,277.30,104.20,282.10,270.20,73.60,21.10,3134.89
2:33:4,11.45,271.70,47.10,98.60,278.20,222.60,115.40,220.40,181.60,4090.580,6752.560,63.80,200.70,253.80,208.80,224.60,201.80,56.20,289.10,256.20,15.50,193.20,50.90,241.40,29.50,3038.53
2:33:9,18.01,214.60,260.70,6.20,10.00,182.70,126.90,49.50,138.50,771.580,3709.130,197.80,200.70,253.80,208.80,224.60,201.80,56.20,289.10,256.20,15.50,193.20,50.90,241.40,29.50,3038.53
2:33:14,18.01,214.60,260.70,6.20,10.00,182.70,126.90,49.50,138.50,771.580,3709.130,197.80,47.20,103.30,13.80,197.70,96.40,242.20,140.50,177.00,247.10,254.30,72.90,213.40,161.40,216.66
2:33:19,17.77,119.80,262.50,255.10,14.90,275.00,7.20,219.30,273.00,4732.310,5626.570,197.80,47.20,103.30,13.80,197.70,96.40,242.20,140.50,177.00,247.10,254.30,72.90,213.40,161.40,216.66
2:33:24,17.77,119.80,262.50,255.10,14.90,275.00,7.20,219.30,273.00,4732.310,5604.140,228.00,261.60,43.70,201.80,127.80,84.00,123.90,94.10,14.50,297.70,50.20,23.30,230.40,137.10,5433.42
2:33:29,15.97,182.10,250.40,127.30,223.90,147.50,280.50,202.40,284.50,4773.270,5604.140,228.00,261.60,43.70,201.80,127.80,84.00,123.90,94.10,14.50,297.70,50.20,23.30,230.40,137.10,5433.42
2:33:34,15.97,182.10,250.40,127.30,223.90,147.50,280.50,202.40,284.50,4772.710,4758.180,166.90,185.20,234.70,57.70,164.20,207.10,122.20,117.30,124.40,294.90,85.60,247.70,222.90,209.00,1995.32
2:33:39,16.78,239.00,94.00,282.00,36.10,44.90,196.20,199.60,284.50,4772.710,4758.180,166.90,185.20,234.70,57.70,164.20,207.10,122.20,117.30,124.40,294.90,85.60,247.70,222.90,209.00,1995.32
2:33:44,16.78,239.00,94.00,282.00,36.10,44.90,196.20,199.60,141.50,3965.090,4754.220,231.20,13.80,213.70,185.90,295.80,294.40,120.20,128.20,236.50,52.10,293.30,131.10,32.10,77.70,6252.51
2:33:49,16.87,228.20,235.60,103.60,27.50,140.90,196.20,199.60,141.50,3965.090,4754.220,231.20,13.80,213.70,185.90,295.80,294.40,120.20,128.20,236.50,52.10,293.30,131.10,32.10,77.70,6252.51
2:33:54,16.87,228.20,235.60,103.60,27.50,140.90,290.30,202.20,170.10,5109.690,3081.140,158.50,122.10,36.60,210.90,295.50,158.90,35.50,155.20,92.90,130.70,77.80,76.10,107.30,7.20,2069.85
2:33:59,18.17,167.80,257.00,103.60,27.50,140.90,290.30,202.20,170.10,5109.690,3081.140,158.50,122.10,36.60,210.90,295.50,158.90,35.50,155.20,92.90,130.70,77.80,76.10,107.30,7.20,2069.85
2:34:4,18.17,167.80,257.00,190.20,60.20,221.90,207.20,100.60,72.00,758.470,7376.360,37.50,266.10,274.00,139.60,283.60,58.50,168.00,39.70,237.50,244.40,8.20,267.60,126.50,226.30,1501.07
2:34:9,24.59,167.80,257.00,190.20,60.20,221.90,207.20,100.60,72.00,758.470,7376.360,37.50,266.10,274.00,139.60,283.60,58.50,168.00,39.70,237.50,244.40,8.20,267.60,126.50,226.30,1501.07
2:34:14,24.59,67.80,27.30,148.80,217.70,262.00,246.00,149.00,280.30,2774.000,7449.670,265.50,169.30,135.20,298.40,23.70,216.90,265.70,280.70,134.70,50.60,262.20,47.50,196.50,273.90,3732.98
2:34:19,24.59,67.80,27.30,148.80,217.70,262.00,246.00,149.00,280.30,2774.000,7449.670,265.50,169.30,135.20,298.40,23.70,216.90,265.70,280.70,134.70,50.60,262.20,47.50,196.50,273.90,3732.98
2:34:24,1.73,224.60,84.40,116.70,266.70,285.20,292.50,158.20,211.50,3482.930,72.360,182.50,4.30,103.10,139.30,98.30,5.30,237.80,240.10,71.10,50.90,175.90,283.00,18.90,273.90,3732.98
2:34:29,1.73,224.60,84.40,116.70,266.70,285.20,292.50,158.20,211.50,3482.930,72.360,182.50,4.30,103.10,139.30,98.30,5.30,237.80,240.10,71.10,50.90,175.90,283.00,18.90,250.30,2559.89
2:34:34,18.09,56.80,41.50,232.80,38.20,97.50,166.60,190.40,93.10,679.680,3425.600,153.30,65.50,131.30,8.00,157.10,191.10,294.90,36.70,41.80,141.40,33.10,283.00,18.90,250.30,2559.89
2:34:39,18.09,56.80,41.50,232.80,38.20,97.50,166.60,190.40,93.10,679.680,3425.600,153.30,65.50,131.30,8.00,157.10,191.10,294.90,36.70,41.80,141.40,33.10,262.40,242.50,58.90,1510.77
2:34:44,6.70,15.70,218.20,12.40,51.90,79.20,149.20,108.90,143.30,1131.720,2189.490,116.90,154.60,122.60,256.10,203.70,202.70,127.00,153.60,72.80,271.50,125.30,262.40,242.50,58.90,1510.77
2:34:49,6.70,15.70,218.20,12.40,51.90,79.20,149.20,108.90,143.30,1131.720,2189.490,116.90,154.60,122.60,256.10,203.70,202.70,127.00,153.60,72.80,271.50,125.30,35.90,105.00,111.00,4777.44
2:34:54,14.65,145.30,277.00,127.70,204.90,77.30,96.60,231.50,183.00,998.380,7162.890,32.80,90.60,189.70,170.90,205.90,17.60,227.10,158.40,123.00,189.00,187.20,35.90,105.00,111.00,4777.44
2:34:59,14.65,145.30,277.00,127.70,204.90,77.30,96.60,231.50,183.00,998.380,7162.890,32.80,90.60,189.70,170.90,205.90,17.60,227.10,158.40,123.00,189.00,187.20,191.60,213.50,10.10,6743.75
2:35:4,9.21,110.80,37.50,156.50,238.20,268.60,63.10,64.10,144.70,2180.060,3527.260,268.30,59.50,226.30,256.40,284.60,17.70,46.70,94.80,115.50,111.70,278.40,191.60,213.50,10.10,6743.75
2:35:9,9.21,110.80,37.50,156.50,238.20,268.60,63.10,64.10,144.70,2180.060,3527.260,268.30,59.50,226.30,256.40,284.60,17.70,46.70,94.80,115.50,111.70,278.40,212.20,178.10,174.90,3042.86
2:35:14,3.48,231.20,236.40,241.70,223.50,86.30,5.50,51.50,76.60,6512.830,7517.740,102.20,114.80,120.40,192.60,180.00,164.70,289.90,279.80,296.30,81.70,283.60,212.20,178.10,174.90,3042.86
2:35:19,3.48,231.20,236.40,241.70,223.50,86.30,5.50,51.50,76.60,6512.830,7517.740,102.20,114.80,120.40,192.60,180.00,164.70,289.90,279.80,296.30,81.70,283.60,243.50,84.10,223.70,6098.04
2:35:24,23.36,90.00,81.70,211.20,232.20,191.40,135.00,264.70,202.50,1819.450,5748.790,185.80,133.30,61.60,75.30,119.50,165.90,121.60,185.70,265.10,134.40,288.60,243.50,84.10,223.70,6098.04
2:35:29,23.36,90.00,81.70,211.20,232.20,191.40,135.00,264.70,202.50,1819.450,5748.790,185.80,133.30,61.60,75.30,119.50,165.90,121.60,185.70,265.10,134.40,288.60,279.90,201.00,186.30,6060.78
2:35:34,1.36,90.60,237.10,121.20,261.80,229.50,142.60,26.50,243.10,6540.200,3756.210,248.10,34.60,223.50,84.20,148.90,172.40,241.70,285.90,94.90,39.50,136.60,279.90,201.00,186.30,6060.78
2:35:39,1.36,90.60,237.10,121.20,261.80,229.50,142.60,26.50,243.10,6540.200,3756.210,248.10,34.60,223.50,84.20,148.90,172.40,241.70,285.90,94.90,39.50,136.60,269.90,226.80,29.50,1828.06
2:35:44,17.17,258.10,283.80,54.00,212.30,99.00,88.40,9.40,27.10,6945.090,3063.280,292.70,93.90,250.80,112.20,171.40,136.70,153.00,72.20,219.00,236.60,107.80,269.90,226.80,29.50,1828.06
2:35:49,17.17,258.10,283.80,54.00,212.30,99.00,88.40,9.40,27.10,6945.090,3063.280,292.70,93.90,250.80,112.20,171.40,136.70,153.00,72.20,219.00,236.60,107.80,296.70,149.60,297.30,222.89
2:35:54,24.56,155.70,49.60,86.60,291.60,177.40,239.60,90.30,86.80,5000.190,6778.050,138.80,94.90,237.50,96.50,259.80,136.00,292.20,224.30,117.40,232.70,9.80,296.70,149.60,297.30,222.89
2:35:59,24.56,155.70,49.60,86.60,291.60,177.40,239.60,90.30,86.80,5000.190,6778.050,138.80,94.90,237.50,96.50,259.80,136.00,292.20,224.30,117.40,232.70,9.80,254.90,294.10,250.80,432.89
2:36:4,8.31,267.00,160.60,94.50,79.90,109.30,90.50,82.20,89.80,3028.720,3741.350,36.60,9.80,134.00,243.10,285.50,10.80,277.50,151.80,15.60,232.70,9.80,254.90,294.10,250.80,432.89
2:36:9,8.31,267.00,160.60,94.50,79.90,109.30,90.50,82.20,89.80,3028.720,3741.350,36.60,9.80,134.00,243.10,285.50,10.80,277.50,151.80,15.60,21.30,99.50,35.40,244.60,295.30,2833.84
2:36:14,8.76,71.80,204.40,242.90,204.80,52.20,42.20,112.20,158.50,2411.250,1699.460,34.70,107.40,87.10,115.70,104.50,277.30,242.40,151.80,15.60,21.30,99.50,35.40,244.60,295.30,2833.84
2:36:19,8.76,71.80,204.40,242.90,204.80,52.20,42.20,112.20,158.50,2411.250,1699.460,34.70,107.40,87.10,115.70,104.50,277.30,242.40,199.90,300.00,74.90,171.20,101.40,164.80,41.90,3023.75
2:36:24,29.56,89.60,51.40,21.70,125.80,72.30,220.70,185.30,255.10,4496.970,7443.400,265.70,290.30,288.60,127.80,104.50,277.30,242.40,199.90,300.00,74.90,171.20,101.40,164.80,41.90,3023.75
2:36:29,29.56,89.60,51.40,21.70,125.80,72.30,220.70,185.30,255.10,4496.970,7443.400,265.70,290.30,288.60,127.80,105.70,31.80,156.00,294.70,75.60,234.00,74.50,149.80,10.90,28.80,1886.89
2:36:34,28.61,237.20,213.80,198.40,27.70,126.50,269.10,23.10,139.70,5656.660,5527.970,61.00,74.80,288.60,127.80,105.70,31.80,156.00,294.70,75.60,234.00,74.50,149.80,10.90,28.80,1886.89
2:36:39,28.61,237.20,213.80,198.40,27.70,126.50,269.10,23.10,139.70,5656.660,5527.970,61.00,74.80,294.10,249.70,181.50,115.10,109.20,52.80,274.20,3.60,217.20,292.40,244.30,5.00,3411.51
